train_circ_mse_rad_ch,test_circ_mse_rad_ch,train_circ_mse_deg_ch,test_circ_mse_deg_ch,fold,perm,train_circ_mse_rad_sac,train_circ_mse_deg_sac,test_circ_mse_rad_sac,test_circ_mse_deg_sac
3.275919063052863,3.2804652571365334,10754.207902314462,10769.132177120719,1,31,3.115989757631439,10229.190962924044,3.1254809656884377,10260.348761002844
3.271949341717208,3.304430870453823,10741.176075905998,10847.806644700646,2,31,3.0926231629328242,10152.482957469281,3.4251455672416107,11244.089617855336
3.273930711917147,3.297337387932555,10747.680530580075,10824.520115236131,3,31,3.069045962091509,10075.083572831909,3.480584564140159,11426.085108912172
3.2738473875302345,3.2962945145498526,10747.406992753611,10821.096563873134,4,31,3.111588932516418,10214.743906291164,3.4569682421855896,11348.55729723579
3.273741436846064,3.2942438277371093,10747.059177174826,10814.364556182374,0,32,3.084107160226415,10124.526569707961,3.3823332075862336,11103.544931719676
3.2774640365633436,3.2914182767126494,10759.279751165266,10805.088819337001,1,32,3.08830926366149,10138.321261548033,3.4334653242531554,11271.401769003392
3.2762011676068252,3.2834182147046236,10755.13399693557,10778.826164976566,2,32,3.0500985039245134,10012.882736844713,3.215403670974749,10555.547588926976
3.27462941932403,3.2811975305015033,10749.974251692194,10771.536088773188,3,32,3.075483657497659,10096.21728019066,3.1817800095443416,10445.167619672591
3.274814282979542,3.2892470832702996,10750.581123274405,10797.961211717347,4,32,3.137976319972884,10301.368589393469,3.3287519557916925,10927.648058086983
3.275813736799383,3.284842085610963,10753.862136620715,10783.50045742949,0,33,3.073973709154639,10091.260412182004,3.268388727252453,10729.487268131154
3.28075787344567,3.281957969066749,10770.092779798477,10774.03246132397,1,33,3.176034219464967,10426.305303514187,3.206310213450164,10525.695528821709
3.2733622172398547,3.2838933990189787,10745.81427264352,10780.386103061153,2,33,3.1478363905614666,10333.737291733232,3.232258540449093,10610.878861465975
3.2743152991907447,3.2930864636313633,10748.94305612398,10810.56515394676,3,33,3.110152432890425,10210.028156197162,3.3179911057488973,10892.322271234969
3.275672218242582,3.2951119945749583,10753.397558603798,10817.21457979054,4,33,3.1055096914258624,10194.786935035832,3.3425653281084298,10972.994684443445
3.2750659123921095,3.2925673054878115,10751.40717390783,10808.860858296448,0,34,3.1228454581998872,10251.696900283925,3.3174324387604335,10890.488275697699
3.2776354503041865,3.2887435683000827,10759.842469282183,10796.308269575791,1,34,3.1088997432270165,10205.91581861553,3.2079629118292656,10531.121017555279
3.2751885297549945,3.288971731939066,10751.809702965322,10797.057286618687,2,34,3.1420624448903682,10314.782546219527,3.254432718859421,10683.672395157691
3.27305379472036,3.3001573392000356,10744.801781238037,10833.777469163739,3,34,3.1112981028502764,10213.789168816382,3.4906963216065,11459.280050532452
3.2730286115773732,3.2918189915753127,10744.719109856323,10806.404288632697,4,34,3.10212330409268,10183.670081194861,3.302765351345527,10842.339067995865
3.2743647148417403,3.28770671280794,10749.10527813686,10792.904473782142,0,35,3.0661618645599553,10065.61563914127,3.2943247568195355,10814.630230688066
3.2758364995942477,3.285899745350139,10753.936862468247,10786.97254953741,1,35,3.132721786861257,10284.118974728273,3.183503634477337,10450.825946547666
3.2745040745715617,3.2884450714757363,10749.562769142849,10795.328362305367,2,35,3.0729403209327164,10087.867998765048,3.262548942452915,10710.316385508533
3.2803715140674967,3.299133008879762,10768.82443677842,10830.414791083836,3,35,3.1308077366564886,10277.83551856182,3.501251471928546,11493.930565035
3.2791537321879396,3.290395324056091,10764.82669469128,10801.730663860286,4,35,3.1211017943412784,10245.9727894966,3.2310285200805344,10606.840942789426
3.2721798235064483,3.291496831308167,10741.932702987275,10805.34669886198,0,36,3.1016996691109218,10182.27936958666,3.215473758073675,10555.77767130039
3.2740675144913407,3.2847872442660915,10748.12962693934,10783.320423914303,1,36,3.106391855377734,10197.682908458786,3.2679845911000074,10728.160567403638
3.27586683380171,3.2895401476985664,10754.036443797126,10798.923285483424,2,36,3.113740310052987,10221.806462129482,3.223731950517789,10582.88771789554
3.2789174774043794,3.2947904639107546,10764.051115987586,10816.159056884362,3,36,3.183640459549304,10451.275116762761,3.3710159806960696,11066.392667420123
3.27513269408798,3.296894317465986,10751.626405283092,10823.065600694974,4,36,3.070474477647834,10079.773112771303,3.242264564316856,10643.726700157433
3.275228560499755,3.295090902266767,10751.941116148424,10817.14533782727,0,37,3.124027155164744,10255.576182583945,3.400743732510165,11163.98311984701
3.2729842080070504,3.2827792572303567,10744.573341533702,10776.728591322651,1,37,3.0826702461764808,10119.809459140419,3.1830819572058355,10449.441661723127
